id,type,latitude,longitude,streetName,slots
371,BIKE,41.404027,2.181264,Carrer dels Enamorats,3
372,BIKE,41.400167,2.184362,Ribes,20
373,BIKE,41.375073,2.161305,Av. Paral.lel,19
375,BIKE,41.372154,2.180701,World Trade Center,12
377,BIKE,41.37747,2.183737,Pl. Ictíneo,19
382,BIKE,41.403938,2.204188,Lope de Vega,16
384,BIKE,41.380708,2.146793,Vilamarí,13
387,BIKE,41.395796,2.178784,Nàpols,10
388,BIKE,41.380593,2.167418,Riera Alta,20
389,BIKE,41.38739,2.1875,Recinte Parc de la Ciutadella,18
393,BIKE,41.402177,2.197653,Llacuna,28
394,BIKE,41.38733,2.16305,Diputació,14
396,BIKE,41.389028,2.196844,Joan Miró,24
400,BIKE,41.36958,2.188017,Moll Oriental,7
401,BIKE,41.381241,2.181838,Pl. Antonio López (Via Laietana) annexa a la 37,0
405,BIKE,41.38551,2.152,Comte Borrell,21
407,BIKE,41.388471,2.192835,Ramon Trias Fargas,6
412,BIKE,41.389012,2.172667,Pl. Urquinaona,12
414,BIKE,41.393744,2.176451,Casp,18
415,BIKE,41.379374,2.168921,Rambla del Raval,5
416,BIKE,41.378134,2.16965,Rambla del Raval,11
419,BIKE,41.391299,2.180828,Passeig de Lluís Companys,23
421,BIKE,41.377845,2.13923,Plaça de Joan Peiró,20
426,BIKE,41.398305,2.183023,Carrer de Ribes,27
427,BIKE,41.375336,2.168007,Carrer de Sant Pau,10
472,BIKE-ELECTRIC,41.407353,2.151341,(PK) C/ DEL TORRENT DE L´OLLA,8
496,BIKE-ELECTRIC,41.404871,2.175141,C/ DE PROVENÇA,11
1,BIKE,41.397952,2.180042,Gran Via Corts Catalanes,0
3,BIKE,41.394072,2.183441,Nàpols,21
4,BIKE,41.39347,2.18149,Ribes,19
5,BIKE,41.391075,2.180223,Pg Lluís Companys,29
7,BIKE,41.388856,2.183251,Pg Lluís Companys,3
9,BIKE,41.384532,2.184921,Marquès de l'Argentera,10
11,BIKE,41.381689,2.193914,Passeig Marítim,0
12,BIKE,41.384538,2.195679,Pg Marítim Barceloneta,4
13,BIKE,41.386861,2.195761,Avinguda Litoral,29
19,BIKE,41.403282,2.170726,Rosselló,17
20,BIKE,41.410166,2.175759,Cartagena,18
22,BIKE,41.401684,2.17568,Sardenya,14
24,BIKE,41.400659,2.179111,Marina,17
25,BIKE,41.395179,2.168294,Bruc,17
26,BIKE,41.407035,2.181981,Dos Maig,1
32,BIKE,41.373698,2.188927,Plaça del Mar,11
35,BIKE,41.413592,2.221153,Sant Ramon de Penyafort,20
36,BIKE,41.385151,2.176804,Catedral,16
38,BIKE,41.381129,2.186397,Pl. Pau Vila,1
40,BIKE,41.382335,2.187093,Doctor Aiguader,0
43,BIKE,41.40541,2.18712,Av Meridiana,2
45,BIKE,41.391401,2.189399,Marina,11
46,BIKE,41.388359,2.193004,Ramon trias Fargas,8
53,BIKE,41.385227,2.173878,Pl. Carles Pi i Sunyer,8
57,BIKE,41.376758,2.177093,La Rambla,5
59,BIKE,41.382781,2.167203,Plaça dels Àngels,10
63,BIKE,41.386439,2.169417,Pl. Catalunya,21
64,BIKE,41.387469,2.169048,Pl. Catalunya,12
